School,Phase 1,2A,2B,2C,2C(S),3
Admiralty,,,,,,
↳ Vacancy (210),150,75,34,70,0,-
↳ Applied,75,32,37,109,-,-
↳ Taken,75,32,34,70,-,-
,,,,,,
,,,PR<1,SC<1,,
Ahmad Ibrahim,,,,,,
↳ Vacancy (220),160,106,52,157,130,115
↳ Applied,54,10,0,27,15,-
↳ Taken,54,10,0,27,15,-
Ai Tong,,,,,,
↳ Vacancy (300),240,126,22,45,0,-
↳ Applied,114,120,56,78,-,-
↳ Taken,114,120,22,45,-,-
,,,,,,
,,,SC<1,SC<1,,
Alexandra,,,,,,
↳ Vacancy (200),140,83,43,127,0,-
↳ Applied,57,13,4,141,-,-
↳ Taken,57,13,4,127,-,-
,,,,,,
,,,,SC>2,,
Anchor Green,,,,,,
↳ Vacancy (240),180,95,42,128,93,27
↳ Applied,85,30,0,36,66,-
↳ Taken,85,30,0,36,66,-
Anderson,,,,,,
↳ Vacancy (210),150,79,31,74,0,-
↳ Applied,71,46,19,92,-,-
↳ Taken,71,46,19,74,-,-
,,,,,,
,,,,SC1-2,,
Ang Mo Kio,,,,,,
↳ Vacancy (150),90,58,28,85,56,41
↳ Applied,32,33,0,29,15,-
↳ Taken,32,33,0,29,15,-
Anglo-Chinese (Junior),,,,,,
↳ Vacancy (270),210,134,31,62,0,-
↳ Applied,76,101,52,79,-,-
↳ Taken,76,101,31,62,-,-
,,,,,,
,,,SC<1,SC>2,,
Anglo-Chinese (Primary),,,,,,
↳ Vacancy (240),180,124,26,53,0,-
↳ Applied,56,106,51,68,-,-
↳ Taken,56,106,26,53,-,-
,,,,,,
,,,SC<1,SC<1,,
Angsana,,,,,,
↳ Vacancy (280),220,132,32,95,0,-
↳ Applied,88,95,2,167,-,-
↳ Taken,88,95,2,95,-,-
,,,,,,
,,,,SC<1,,
Beacon,,,,,,
↳ Vacancy (150),90,30,28,84,53,44
↳ Applied,60,6,0,31,9,-
↳ Taken,60,6,0,31,9,-
Bedok Green,,,,,,
↳ Vacancy (210),150,94,48,143,116,80
↳ Applied,57,11,0,27,36,-
↳ Taken,57,11,0,27,36,-
Bendemeer,,,,,,
↳ Vacancy (190),130,94,47,143,113,63
↳ Applied,36,12,1,30,50,-
↳ Taken,36,12,1,30,50,-
Blangah Rise,,,,,,
↳ Vacancy (120),60,37,26,77,60,48
↳ Applied,23,20,0,18,12,-
↳ Taken,23,20,0,18,12,-
Boon Lay Garden,,,,,,
↳ Vacancy (180),120,74,40,121,94,69
↳ Applied,46,15,0,27,25,-
↳ Taken,46,15,0,27,25,-
Bukit Panjang,,,,,,
↳ Vacancy (240),180,80,21,42,0,-
↳ Applied,100,78,24,89,-,-
↳ Taken,100,78,21,42,-,-
,,,,,,
,,,SC1-2,SC<1,,
Bukit Timah,,,,,,
↳ Vacancy (180),120,56,36,111,40,0
↳ Applied,64,7,1,71,66,-
↳ Taken,64,7,1,71,40,-
,,,,,,
,,,,,SC1-2,
Bukit View,,,,,,
↳ Vacancy (320),260,198,80,242,215,88
↳ Applied,62,17,0,27,127,-
↳ Taken,62,17,0,27,127,-
CHIJ (Katong),,,,,,
↳ Vacancy (200),140,96,42,105,42,0
↳ Applied,44,30,21,63,55,-
↳ Taken,44,30,21,63,42,-
,,,,,,
